name,coordinate,information,region,writter,painting,potery,royal,impressionist,furniture,religion,buda,shamanism,Christianus,korea,hindu,egyptian,natural history,fossil,dinosaur,animal,mineral
Gyeongbokgung_Manchunjeon_Foldingscreen,"(0.63699,-20.64571,0.03)","Foldingscreen It is one of the props reproduced in Manchunjeon Hall of Gyeongbokgung Palace. A folding screen is a type of screen made by attaching pictures and writing to a board made of wood. Some are embroidered. Folding screens are objects that function like furniture by dividing space, blocking cold winds, and decorating walls, and have a long history and tradition.Manchunjeon Hall It is the the king’s office and residence during normal times, and one of the three office buildings used by Joseon’s rulers in ordinary times.",east,,1,,,,,,,,,1,,,,,,,
Ilwolobongdo,"(0.61085,-9.2,0.0)","Ilwolobongdo It is one of the props reproduced in Sajeongjeon Hall of Gyeongbokgung Palace. The chair placed in the center of the interior is Throne, the king’s chair. Behind the throne is a folding screen depicting the sun and moon, five peaks, pine trees, waterfalls, and waves; the Ilwolobongdo. This folding screen symbolizes the place where the king is.",east,,1,,,,,,,,,1,,,,,,,
"Celadon Prunus Vase with Inlaid Chrysanthemum, Peony, Willow, Heron, and Bamboo Design and Bamboo Strip","(-24.0,-8.66634,1.0)","Celadon Prunus Vase with Inlaid Chrysanthemum, Peony, Willow, Heron, and Bamboo Design and Bamboo Strip,It is one of the props reproduced the maritime culutural heritages. This celadon vase with a bamboo strip was discovered in the remains of a Goryeo boat referred to as Mado Boat 2 because it was excavated at an underwater site around Mado Island of Geunheung-myeon, Taean-gun, Chungcheongnam-do. The vase features a body divided into six sections by incised lines like the shape of a melon.",east,,,1,,,,,,,,1,,,,,,,
Gold Crown From Cheonmachong Tomb,"(24.01586,-7.9648,1.5)","This is a typical Silla crown. 32.5cm in height, this particular crown was worn by Sojimaripgan when discovered by researchers. Some of the features of the crown include: 1. 3 lines forming the Chinese character ‘mountain’ (山) on the front, 2 lines of the shape of a deer horn on the back, and, over the top, a wide band fixed on the head. 2. The Chinese letter is in the shape of quadplex with flower blossoms on the end. 3. There is much harmony between the bent jade and golden circle deck. 4. Another decorative element is the golden deck and the golden thread. The two dangling fixings in the form of a leaf is attached to the end of the crown.",east,,,,1,,,,,,,1,,,,,,,
Unhyun_ White Porcelain Bottle,"(-24.0,-14.83924,1.0)","The oral cavity was widened outward, the neck was long, and the body was round. The neck was a little less than the ½ of the disease. It is a disease with vertical hooves, and the oral cavity is slightly circumcised and the neck is long. It is a deformity that swells and shrinks from the shoulder to the abdomen. On the front, the peony door was written using green lance. The flowers were not colored, but only by the outline, and the branches and leaves were colored with a joke.",east,,,1,,,,,,,,1,,,,,,,
Gyeongbokgung_Gyotaejeon_Storagebox,"(23.82904,-16.9706,1.00778)","Storagebox It is one of the props reproduced in Gyotaejeon Hall of Gyeongbokgung Palace. It is a furniture that stores books and scroll documents. It was used to store things, and it was made by wood.",east,,,,,,1,,,,,1,,,,,,,
Woman with a Parasol,"(13.63507,24.94741,1.48761)","Monet's light, spontaneous brushwork creates splashes of colour. Mrs Monet's veil is blown by the wind, as is her billowing white dress; the waving grass of the meadow is echoed by the green underside of her parasol. She is seen as if from below, with a strong upward perspective, against fluffy white clouds in an azure sky. A boy, Monet's seven-year-old son Jean, is placed further away, concealed behind a rise in the ground and visible only from the waist up, creating a sense of depth, the moment using animated brush strokes full of vibrant color.",west,claude monet,1,,,1,,,,,,,,,,,,,
"Gare Saint Lazare, Arrival of a Train","(5.0007,4.9679,1.5)","Arrival of the Normandy Train, Gare Saint-Lazare, also known as The Railway Station of Saint Lazare in Paris, is a c. 1877 oil-on-canvas painting by Claude Monet. It is in the permanent collection of the Art Institute of Chicago.The Impressionist painting depicts a steam train from Normandy arriving at the Gare Saint-Lazare railway station in Paris, with crowds of people waiting amid the steam and smoke under the vaulted iron and glass vault of the station's train shed. It was painted en plein air, at the station. It measures 60.3 cm × 80.2 cm (23.7 in × 31.6 in) and is signed and dated in the lower left corner, ""Claude Monet 77"".",west,claude monet,1,,,1,,,,,,,,,,,,,
Water Lilies Agapanthus,"(18.7,5.1,2.34671)","A skilled horticulturalist as well as an artist, Claude Monet spent the last 30 years of his life painting the private garden he designed and helped cultivate at his home in Giverny in northern France. The resultant canvases are notable for their varied motifs, formats, and sizes. Monumental in scale, this rendering of his water lily pond focuses on the momentary effects of sunlight as it both penetrates and reflects off its shimmering surface. By zeroing in on the water and omitting its horizon and surrounding banks, Monet infers a limitless expanse—a perception amplified by the painting’s vast horizontal format that fills the viewer’s field of vision.",west,claude monet,1,,,1,,,,,,,,,,,,,
the starry night,"(0.51,21.0,1.5)","The Starry Night is an oil-on-canvas painting by the Dutch Post-Impressionist painter Vincent van Gogh, painted in June 1889. It depicts the view from the east-facing window of his asylum room at Saint-Rémy-de-Provence, just before sunrise, with the addition of an imaginary village.It has been in the permanent collection of the Museum of Modern Art in New York City since 1941,acquired through the Lillie P. Bliss Bequest. Widely regarded as Van Gogh's magnum opus,The Starry Night is one of the most recognizable paintings in Western art.",west,Vincent Van Gogh,1,,,1,,,,,,,,,,,,,
Irises ,"(6.56587,24.7,1.45729)","Irises is an oil painting by Dutch artist Vincent van Gogh. Painted in 1889, the work is a landscape with a cropped composition and is one of several hundred paintings from a series of paintings that van Gogh made at the Saint Paul-de-Mausole asylum in Saint-Rémy-de-Provence, France, in the last year before his death in 1890. It has been in the permanent collection of The Getty in Los Angeles, California since 1990.The painting depicts vibrantly blooming irises with dynamic brushstrokes. The flowers are a mix of deep blues and violets, contrasting with lush green leaves, red-orange earth, and yellow flowers in the background. Van Gogh's characteristic impasto technique adds texture and movement within the painting, creating an energetic and expressive feeling. The overall cropped composition of Irises, includes broad areas of vivid color and monumental rippled irises overflowing the borders of the canvas which helps moves the viewer's eye throughout the canvas.",west,Vincent Van Gogh,1,,,1,,,,,,,,,,,,,
